name,subservice,type,is_list,unit,counter
snmp_UdpNoPorts,net,int,0,,1,
snmp_UdpInErrors,net,int,0,,1,
snmp_UdpOutDatagrams,net,int,0,,1,
snmp_UdpRcvbufErrors,net,int,0,,1,
snmp_UdpSndbufErrors,net,int,0,,1,
snmp_UdpInCsumErrors,net,int,0,,1,
snmp_UdpIgnoredMulti,net,int,0,,1,
snmp_UdpLiteInDatagrams,net,int,0,,1,
snmp_UdpLiteNoPorts,net,int,0,,1,
snmp_UdpLiteInErrors,net,int,0,,1,
snmp_UdpLiteOutDatagrams,net,int,0,,1,
snmp_UdpLiteRcvbufErrors,net,int,0,,1,
snmp_UdpLiteSndbufErrors,net,int,0,,1,
snmp_UdpLiteInCsumErrors,net,int,0,,1,
snmp_UdpLiteIgnoredMulti,net,int,0,,1,
active,vm,int,0,,0,
active,kb,int,0,,0,
